idIntencionVoto,idFormGeneral,tipoIntencionVoto,fechaEncuesta,pregunta,siNoExplicacion,fechaAlta,fechaEdicion,usuarioCrea,usuarioEdicion,activo,idIntencionVotoRegistro,candidato,partido,resultado,fecha,casaEncuestadora,fechaInicio,fechaFin
30,30,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/25 14:36:00,NA,admin,NA,1,134,AMLO,MORENA,52,2021-05-30,Reforma,2021-05-24,2021-05-27
30,30,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/25 14:36:00,NA,admin,NA,1,135,ANAYA,PAN,26,2021-05-30,Reforma,2021-05-24,2021-05-27
30,30,Candidato + Partido,2021/05/30 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/25 14:36:00,NA,admin,NA,1,136,MEADE,PRI,19,2021-05-30,Reforma,2021-05-24,2021-05-27
31,33,Candidato + Partido,2021/04/23 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:00:46,NA,admin,NA,1,138,AMLO,MORENA,36.05,2021-04-23,Massive Caller,2021-04-23,2021-04-24
31,33,Candidato + Partido,2021/04/23 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:00:46,NA,admin,NA,1,139,ANAYA,PAN,28.7,2021-04-23,Massive Caller,2021-04-23,2021-04-24
31,33,Candidato + Partido,2021/04/23 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:00:46,NA,admin,NA,1,140,MEADE,PRI,11.85,2021-04-23,Massive Caller,2021-04-23,2021-04-24
32,34,Candidato + Partido,2021/04/29 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:04:20,NA,admin,NA,1,148,AMLO,MORENA,41.4,2021-04-29,SDP  Noticias,2021-04-25,2021-04-28
32,34,Candidato + Partido,2021/04/29 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:04:20,NA,admin,NA,1,149,ANAYA,PAN,24.7,2021-04-29,SDP  Noticias,2021-04-25,2021-04-28
32,34,Candidato + Partido,2021/04/29 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:04:20,NA,admin,NA,1,150,MEADE,PRI,22.2,2021-04-29,SDP  Noticias,2021-04-25,2021-04-28
33,35,Candidato + Partido,2021/05/06 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:17:54,NA,admin,NA,1,163,AMLO,MORENA,39.15,2021-05-06,Massive Caller,2021-05-05,2021-05-06
33,35,Candidato + Partido,2021/05/06 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:17:54,NA,admin,NA,1,164,ANAYA,PAN,28.55,2021-05-06,Massive Caller,2021-05-05,2021-05-06
33,35,Candidato + Partido,2021/05/06 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:17:54,NA,admin,NA,1,165,MEADE,PRI,12.45,2021-05-06,Massive Caller,2021-05-05,2021-05-06
34,36,Candidato + Partido,2021/05/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:28:33,NA,admin,NA,1,183,AMLO,MORENA,40.67,2021-05-09,Massive Caller,2021-05-08,2021-05-09
34,36,Candidato + Partido,2021/05/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:28:33,NA,admin,NA,1,184,ANAYA,PAN,30.99,2021-05-09,Massive Caller,2021-05-08,2021-05-09
34,36,Candidato + Partido,2021/05/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:28:33,NA,admin,NA,1,185,MEADE,PRI,11.83,2021-05-09,Massive Caller,2021-05-08,2021-05-09
35,37,Candidato + Partido,2021/05/11 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:37:44,NA,admin,NA,1,208,AMLO,MORENA,42,2021-05-11,Gii 360,2021-05-07,2021-05-10
35,37,Candidato + Partido,2021/05/11 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:37:44,NA,admin,NA,1,209,ANAYA,PAN,17,2021-05-11,Gii 360,2021-05-07,2021-05-10
35,37,Candidato + Partido,2021/05/11 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:37:44,NA,admin,NA,1,210,MEADE,PRI,13,2021-05-11,Gii 360,2021-05-07,2021-05-10
36,38,Candidato + Partido,2021/05/13 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:43:02,NA,admin,NA,1,238,AMLO,MORENA,40.6,2021-05-13,SDP Noticias,2021-05-09,2021-05-12
36,38,Candidato + Partido,2021/05/13 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:43:02,NA,admin,NA,1,239,ANAYA,PAN,27.3,2021-05-13,SDP Noticias,2021-05-09,2021-05-12
36,38,Candidato + Partido,2021/05/13 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:43:02,NA,admin,NA,1,240,MEADE,PRI,22.9,2021-05-13,SDP Noticias,2021-05-09,2021-05-12
37,39,Candidato + Partido,2021/05/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:47:24,NA,admin,NA,1,273,AMLO,MORENA,36,2021-05-15,El Heraldo ,2021-05-05,2021-05-09
37,39,Candidato + Partido,2021/05/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:47:24,NA,admin,NA,1,274,ANAYA,PAN,23,2021-05-15,El Heraldo ,2021-05-05,2021-05-09
37,39,Candidato + Partido,2021/05/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 14:47:24,NA,admin,NA,1,275,MEADE,PRI,23,2021-05-15,El Heraldo ,2021-05-05,2021-05-09
38,40,Candidato + Partido,2021/05/20 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 15:02:16,NA,admin,NA,1,313,AMLO,MORENA,42.4,2021-05-20,SDP Noticias,2021-05-18,2021-05-19
38,40,Candidato + Partido,2021/05/20 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 15:02:16,NA,admin,NA,1,314,ANAYA,PAN,25.8,2021-05-20,SDP Noticias,2021-05-18,2021-05-19
38,40,Candidato + Partido,2021/05/20 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/02/08 15:02:16,NA,admin,NA,1,315,MEADE,PRI,24.2,2021-05-20,SDP Noticias,2021-05-18,2021-05-19
