candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
PAN,70,#17418A,28.79210422174097,26.529481672558013,30.94836986066119,2021-05-30,29,26.5,30.9
PAN,71,#17418A,28.774106953600597,26.18579950647003,31.209877186459273,2021-05-31,29,26.2,31.2
PAN,72,#17418A,28.753908758139417,26.025111267337802,31.738686613743678,2021-06-01,29,26,31.7
PAN,73,#17418A,28.752625848047764,25.773383131548304,32.0431827017902,2021-06-02,29,25.8,32
PAN,74,#17418A,28.77865712471131,25.46393600327544,32.17687003733767,2021-06-03,29,25.5,32.2
PAN,75,#17418A,28.744908485554692,25.30661258939295,32.414253246031144,2021-06-04,29,25.3,32.4
PAN,76,#17418A,28.779316716805415,25.121956247435445,32.591826287611724,2021-06-05,29,25.1,32.6
PAN,77,#17418A,28.774909223641522,24.946098183383842,32.75252938815399,2021-06-06,29,24.9,32.8
PRI,1,#EB0E0E,32.37018311955342,31.23808718952537,33.35291684240868,2021-03-22,32,31.2,33.4
PRI,2,#EB0E0E,31.354140959514364,29.869318354371476,32.456910358416884,2021-03-23,31,29.9,32.5
PRI,3,#EB0E0E,30.373966460550996,28.845209358686752,31.618900935736587,2021-03-24,30,28.8,31.6
PRI,4,#EB0E0E,29.22020493551506,27.933793068117247,30.578705184845283,2021-03-25,29,27.9,30.6
PRI,5,#EB0E0E,28.33197458172087,26.66483484721581,29.610487787633605,2021-03-26,28,26.7,29.6
PRI,6,#EB0E0E,28.430376463162517,27.16074842907345,29.453566049118727,2021-03-27,28,27.2,29.5
PRI,7,#EB0E0E,29.309100809476256,28.114429745917118,30.42885605335872,2021-03-28,29,28.1,30.4
PRI,8,#EB0E0E,29.55880163160311,28.49458333329941,30.570995487749386,2021-03-29,30,28.5,30.6
PRI,9,#EB0E0E,29.17296086425047,28.18153487424767,30.15333059481824,2021-03-30,29,28.2,30.2
PRI,10,#EB0E0E,28.074021874435907,26.9614204820682,29.185656198101196,2021-03-31,28,27,29.2
PRI,11,#EB0E0E,26.19095031563464,25.142211594255482,27.436582199372424,2021-04-01,26,25.1,27.4
PRI,12,#EB0E0E,23.976453313044633,22.9496713528086,25.068782755880783,2021-04-02,24,22.9,25.1
PRI,13,#EB0E0E,23.134387172030397,22.01556157801205,24.525784680831546,2021-04-03,23,22,24.5
PRI,14,#EB0E0E,22.848312577271475,21.42987248860236,24.04357516586613,2021-04-04,23,21.4,24
PRI,15,#EB0E0E,23.15433429693749,21.41330993522462,24.525829238702016,2021-04-05,23,21.4,24.5
PRI,16,#EB0E0E,23.456817244327432,21.39348209249421,24.786746783391138,2021-04-06,23,21.4,24.8
PRI,17,#EB0E0E,23.78401798201277,22.230443570122617,25.19686809479041,2021-04-07,24,22.2,25.2
PRI,18,#EB0E0E,24.00263950398909,22.656371972876286,25.322100144170623,2021-04-08,24,22.7,25.3
PRI,19,#EB0E0E,24.27400358976328,22.79413956420419,25.88851721517865,2021-04-09,24,22.8,25.9
PRI,20,#EB0E0E,24.56022378676138,23.14958939266622,25.96564700612529,2021-04-10,25,23.1,26
PRI,21,#EB0E0E,24.841356821819307,23.425059286583718,26.227026812992776,2021-04-11,25,23.4,26.2
PRI,22,#EB0E0E,25.258870091350595,24.030380742268544,26.43789825304869,2021-04-12,25,24,26.4
PRI,23,#EB0E0E,26.193323323311198,25.4486540843564,27.080196704489783,2021-04-13,26,25.4,27.1
PRI,24,#EB0E0E,26.1337929292688,25.276640870330535,26.837176272790025,2021-04-14,26,25.3,26.8
PRI,25,#EB0E0E,25.65804797989431,24.827446205531448,26.670812402074667,2021-04-15,26,24.8,26.7
PRI,26,#EB0E0E,24.23859517277778,22.974078937553706,25.35321439754187,2021-04-16,24,23,25.4
PRI,27,#EB0E0E,23.40341173086036,21.6852849894212,24.9024571541455,2021-04-17,23,21.7,24.9
PRI,28,#EB0E0E,22.572528738834762,20.83252954576397,24.276543146427215,2021-04-18,23,20.8,24.3
PRI,29,#EB0E0E,21.71776705282603,19.996444104757952,23.62299715257582,2021-04-19,22,20,23.6
PRI,30,#EB0E0E,20.89360568763897,19.11057812214372,22.90318494761911,2021-04-20,21,19.1,22.9
PRI,31,#EB0E0E,20.13680045540034,18.408257958331305,22.008274667405438,2021-04-21,20,18.4,22
PRI,32,#EB0E0E,19.417337559544396,17.85248091346954,21.1595465551018,2021-04-22,19,17.9,21.2
PRI,33,#EB0E0E,18.630206648702966,17.2979206981081,20.286553110635616,2021-04-23,19,17.3,20.3
PRI,34,#EB0E0E,17.88504961379479,16.930303926371774,19.21281556823507,2021-04-24,18,16.9,19.2
PRI,35,#EB0E0E,17.208358124200977,16.431730788062783,18.04787719708663,2021-04-25,17,16.4,18
PRI,36,#EB0E0E,18.200304152141797,17.395465700796382,19.109612727075312,2021-04-26,18,17.4,19.1
PRI,37,#EB0E0E,19.88699460268247,18.925178481102726,21.031010156086534,2021-04-27,20,18.9,21
PRI,38,#EB0E0E,21.105006262062346,20.216149427648926,22.52308411878585,2021-04-28,21,20.2,22.5
PRI,39,#EB0E0E,21.935098305483322,20.807851334425855,23.199908816953148,2021-04-29,22,20.8,23.2
